"ba","sol","har","hei"
110,0.00325172886150359,0.0590588314250243,NA
111,0.394208804285454,0.0390186667002,0.152374390341921
112,4.20930890919842,0.657838260235224,5.68814390042365
113,0.0669259235827127,0.0151107497905034,0.0445269585691933
211,35.7793507318611,38.2363258930612,4.6255575024354
221,0.396339102691961,0.664261592436247,0.00363193991685656
311,0.00373728290715112,0.69878422409859,NA
321,0.170699881321851,2.52999364377539,NA
342,0.0118448612696307,NA,NA
352,0.00542780330465296,NA,NA
354,0.0487737037261002,0.0913059711463766,NA
356,0.00465102031992463,NA,NA
410,0.54682524671787,0.700169965465732,0.536081748728023
411,0.152697484166174,0.0593836647195464,1.89700998721875
412,0.0534081253528992,NA,0.0141555503972233
421,0.340760238968426,0.277265936588807,NA
422,0.0076073584157869,NA,NA
431,0.0765783743643898,0.00617947943221683,0.00793048805120061
441,0.136393409121412,0.0560980663752621,0.0128245564377195
451,0.284068066419827,0.175495797535139,0.0466800374260327
452,0.00849290586532769,NA,0.0299940716021597
511,49.0182895987276,52.59514935055,22.8836073770894
512,0.0665833519606479,0.09311741846456,NA
541,0.00429174984566523,0.00645203533120648,NA
611,1.90930903823899,0.568847791828594,9.31684866005713
711,0.490176290394024,0.1018940245467,51.7147155262045
811,4.28979748789531,1.58863953435618,3.00282120281513
812,1.52020152021522,0.499042028508395,NA
322,NA,0.179379258378805,NA
323,NA,0.00410212328506874,NA
331,NA,0.0970856919649899,NA
731,NA,NA,0.02309610228569
